"CLEVELAND, OH",CLE,"SAN FRANCISCO, CA",SFO,07:16 AM,09:40 AM,5h24m,1927,739
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,07:15 AM,07:48 AM,1h33m,245,738
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,07:35 AM,08:08 AM,1h33m,805,738
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,07:35 AM,08:08 AM,1h33m,1686,73G
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,07:43 AM,08:06 AM,1h23m,537,320
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,07:49 AM,08:12 AM,1h23m,537,320
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,02:41 PM,03:06 PM,1h25m,1766,73G
"COLUMBUS, OH",CMH,"CHICAGO, IL",ORD,05:50 PM,06:12 PM,1h22m,515,319
"COLUMBUS, OH",CMH,"DENVER, CO",DEN,09:03 AM,10:25 AM,3h22m,349,738
"COLUMBUS, OH",CMH,"DENVER, CO",DEN,09:14 AM,10:31 AM,3h17m,270,319
"COLUMBUS, OH",CMH,"HOUSTON, TX",IAH,08:45 AM,10:40 AM,2h55m,625,319
"COZUMEL, MEXICO",CZM,"CHICAGO, IL",ORD,01:50 PM,05:40 PM,3h50m,1074,738
"COZUMEL, MEXICO",CZM,"HOUSTON, TX",IAH,12:05 PM,02:32 PM,2h27m,1546,739
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,07:04 AM,09:29 AM,2h25m,765,320
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,09:38 AM,12:05 PM,2h27m,578,320
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,10:37 AM,01:05 PM,2h28m,1403,738
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,10:44 AM,01:07 PM,2h23m,983,319
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,12:32 PM,02:55 PM,2h23m,983,319
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,02:06 PM,04:29 PM,2h23m,302,320
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,02:11 PM,04:40 PM,2h29m,983,320
"DALLAS/FORT WORTH, TX",DFW,"CHICAGO, IL",ORD,03:42 PM,06:10 PM,2h28m,1676,73G
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:50 AM,06:58 AM,2h08m,237,319
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:50 AM,06:59 AM,2h09m,1944,738
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:50 AM,06:58 AM,2h08m,1233,738
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,06:00 AM,07:08 AM,2h08m,237,320
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,09:04 AM,10:20 AM,2h16m,1214,738
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,09:05 AM,10:20 AM,2h15m,315,320
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,04:46 PM,05:55 PM,2h09m,748,319
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:06 PM,06:11 PM,2h05m,1672,738
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:10 PM,06:13 PM,2h03m,465,320
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,05:10 PM,06:13 PM,2h03m,1214,320
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,07:45 PM,08:51 PM,2h06m,398,320
"DALLAS/FORT WORTH, TX",DFW,"DENVER, CO",DEN,08:04 PM,09:14 PM,2h10m,806,320
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,06:41 AM,07:52 AM,1h11m,570,320
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,07:05 AM,08:17 AM,1h12m,1130,738
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,08:00 AM,09:12 AM,1h12m,1739,738
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,09:10 AM,10:20 AM,1h10m,737,319
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,11:02 AM,12:15 PM,1h13m,559,319
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,11:02 AM,12:15 PM,1h13m,1045,73G
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,11:05 AM,12:15 PM,1h10m,737,319
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:12 PM,06:31 PM,1h19m,1892,738
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:15 PM,06:34 PM,1h19m,325,319
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:15 PM,06:34 PM,1h19m,1892,738
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:19 PM,06:30 PM,1h11m,375,738
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:19 PM,06:30 PM,1h11m,1045,73G
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:19 PM,06:30 PM,1h11m,1879,73G
"DALLAS/FORT WORTH, TX",DFW,"HOUSTON, TX",IAH,05:20 PM,06:34 PM,1h14m,1233,319
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,06:35 AM,11:03 AM,3h28m,1715,73G
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,06:41 AM,10:52 AM,3h11m,1643,320
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,07:59 AM,12:23 PM,3h24m,298,320
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,08:31 AM,12:59 PM,3h28m,1715,738
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,09:51 AM,02:24 PM,3h33m,263,320
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,09:51 AM,02:19 PM,3h28m,1116,739
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,09:59 AM,02:31 PM,3h32m,298,319
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,01:33 PM,06:04 PM,3h31m,1927,738
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,02:25 PM,07:05 PM,3h40m,559,319
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,02:28 PM,07:00 PM,3h32m,1643,738
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,04:02 PM,08:22 PM,3h20m,1219,73G
"DALLAS/FORT WORTH, TX",DFW,"NEW YORK/NEWARK, NJ",EWR,04:35 PM,08:55 PM,3h20m,1542,738
"DALLAS/FORT WORTH, TX",DFW,"SAN FRANCISCO, CA",SFO,06:25 AM,08:16 AM,3h51m,1799,738
"DALLAS/FORT WORTH, TX",DFW,"SAN FRANCISCO, CA",SFO,07:06 AM,09:11 AM,4h05m,1273,319
"DALLAS/FORT WORTH, TX",DFW,"SAN FRANCISCO, CA",SFO,09:50 AM,11:58 AM,4h08m,292,319
"DALLAS/FORT WORTH, TX",DFW,"SAN FRANCISCO, CA",SFO,10:21 AM,12:25 PM,4h04m,317,320
"DALLAS/FORT WORTH, TX",DFW,"SAN FRANCISCO, CA",SFO,02:49 PM,05:03 PM,4h14m,331,319
"DALLAS/FORT WORTH, TX",DFW,"WASHINGTON, DC",IAD,07:25 AM,11:24 AM,2h59m,1469,738
"DALLAS/FORT WORTH, TX",DFW,"WASHINGTON, DC",IAD,05:15 PM,09:03 PM,2h48m,1575,320
"DELHI, INDIA",DEL,"NEW YORK/NEWARK, NJ",EWR,10:45 PM,04:50 AM,15h35m,83,777
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,11:12 AM,12:30 PM,1h18m,223,319
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,06:45 PM,08:07 PM,1h22m,348,319
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,06:45 PM,08:02 PM,1h17m,367,319
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,06:45 PM,08:07 PM,1h22m,467,319
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,06:45 PM,08:07 PM,1h22m,1132,319
"DENVER, CO",DEN,"ALBUQUERQUE, NM",ABQ,06:45 PM,08:07 PM,1h22m,1529,319
"DENVER, CO",DEN,"ANCHORAGE, AK",ANC,11:17 AM,03:00 PM,5h43m,1126,738
"DENVER, CO",DEN,"ATLANTA, GA",ATL,09:55 AM,02:54 PM,2h59m,410,73G
"DENVER, CO",DEN,"ATLANTA, GA",ATL,09:55 AM,02:57 PM,3h02m,1736,738
"DENVER, CO",DEN,"ATLANTA, GA",ATL,12:35 PM,05:19 PM,2h44m,311,738
"DENVER, CO",DEN,"ATLANTA, GA",ATL,12:41 PM,05:30 PM,2h49m,1736,738
"DENVER, CO",DEN,"ATLANTA, GA",ATL,12:53 PM,05:54 PM,3h01m,311,320
"DENVER, CO",DEN,"ATLANTA, GA",ATL,05:29 PM,10:30 PM,3h01m,677,319
"DENVER, CO",DEN,"AUSTIN, TX",AUS,09:55 AM,01:04 PM,2h09m,422,320
"DENVER, CO",DEN,"AUSTIN, TX",AUS,05:30 PM,08:42 PM,2h12m,289,319
"DENVER, CO",DEN,"AUSTIN, TX",AUS,05:40 PM,08:54 PM,2h14m,1916,73G
"DENVER, CO",DEN,"AUSTIN, TX",AUS,07:10 PM,10:14 PM,2h04m,255,320
"DENVER, CO",DEN,"AUSTIN, TX",AUS,08:08 PM,11:13 PM,2h05m,1526,738
"DENVER, CO",DEN,"AUSTIN, TX",AUS,08:10 PM,11:17 PM,2h07m,1445,739
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,09:55 AM,03:29 PM,3h34m,752,319
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,09:55 AM,03:25 PM,3h30m,1652,738
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,11:02 AM,04:29 PM,3h27m,752,319
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,12:30 PM,06:00 PM,3h30m,1567,739
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,05:37 PM,10:58 PM,3h21m,401,319
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,07:40 PM,01:09 AM,3h29m,314,320
"DENVER, CO",DEN,"BALTIMORE/ WASHINGTON, MD",BWI,07:40 PM,01:10 AM,3h30m,1518,738
"DENVER, CO",DEN,"BILLINGS, MT",BIL,11:07 AM,12:39 PM,1h32m,579,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,11:19 AM,12:52 PM,1h33m,1452,738
"DENVER, CO",DEN,"BILLINGS, MT",BIL,11:25 AM,12:58 PM,1h33m,298,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,03:10 PM,04:44 PM,1h34m,398,320
"DENVER, CO",DEN,"BILLINGS, MT",BIL,03:10 PM,04:50 PM,1h40m,465,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,03:10 PM,04:50 PM,1h40m,1677,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,06:45 PM,08:18 PM,1h33m,465,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,07:01 PM,08:29 PM,1h28m,398,320
"DENVER, CO",DEN,"BILLINGS, MT",BIL,07:04 PM,08:37 PM,1h33m,1132,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,07:04 PM,08:37 PM,1h33m,1838,319
"DENVER, CO",DEN,"BILLINGS, MT",BIL,07:10 PM,08:44 PM,1h34m,1555,738
"DENVER, CO",DEN,"BILLINGS, MT",BIL,10:06 PM,11:39 PM,1h33m,398,738
"DENVER, CO",DEN,"BOISE, ID",BOI,11:29 AM,01:30 PM,2h01m,270,738
"DENVER, CO",DEN,"BOISE, ID",BOI,11:33 AM,01:31 PM,1h58m,1514,738
"DENVER, CO",DEN,"BOISE, ID",BOI,06:45 PM,08:49 PM,2h04m,453,738
"DENVER, CO",DEN,"BOISE, ID",BOI,06:45 PM,08:45 PM,2h00m,1237,738
"DENVER, CO",DEN,"BOISE, ID",BOI,08:24 PM,10:28 PM,2h04m,453,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,07:55 AM,01:52 PM,3h57m,599,320
"DENVER, CO",DEN,"BOSTON, MA",BOS,07:55 AM,01:55 PM,4h00m,1857,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,09:55 AM,03:59 PM,4h04m,1907,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,10:00 AM,03:56 PM,3h56m,789,739
"DENVER, CO",DEN,"BOSTON, MA",BOS,12:39 PM,06:30 PM,3h51m,714,320
"DENVER, CO",DEN,"BOSTON, MA",BOS,12:44 PM,06:44 PM,4h00m,1520,739
"DENVER, CO",DEN,"BOSTON, MA",BOS,05:38 PM,11:27 PM,3h49m,386,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,05:41 PM,11:35 PM,3h54m,1572,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,07:40 PM,01:29 AM,3h49m,1210,738
"DENVER, CO",DEN,"BOSTON, MA",BOS,11:59 PM,05:51 AM,3h52m,245,320
"DENVER, CO",DEN,"BOZEMAN, MT",BZN,11:14 AM,01:01 PM,1h47m,452,319
"DENVER, CO",DEN,"BOZEMAN, MT",BZN,06:45 PM,08:31 PM,1h46m,526,319
"DENVER, CO",DEN,"CALGARY, AB CANADA",YYC,07:02 PM,09:56 PM,2h54m,530,319
"DENVER, CO",DEN,"CANCUN, MEXICO",CUN,08:04 AM,01:59 PM,4h55m,1692,739
"DENVER, CO",DEN,"CANCUN, MEXICO",CUN,09:59 AM,03:54 PM,3h55m,1119,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,06:20 AM,09:45 AM,2h25m,532,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,06:20 AM,09:50 AM,2h30m,1289,319
"DENVER, CO",DEN,"CHICAGO, IL",ORD,07:50 AM,11:15 AM,2h25m,682,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,07:55 AM,11:26 AM,2h31m,1879,73G
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:44 AM,12:15 PM,2h31m,1192,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:45 AM,12:15 PM,2h30m,244,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:50 AM,12:20 PM,2h30m,687,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:50 AM,12:21 PM,2h31m,1280,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,09:13 AM,12:43 PM,2h30m,288,319
"DENVER, CO",DEN,"CHICAGO, IL",ORD,09:55 AM,01:26 PM,2h31m,244,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,09:55 AM,01:26 PM,2h31m,1041,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,11:24 AM,02:55 PM,2h31m,1086,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,11:25 AM,02:53 PM,2h28m,533,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,12:35 PM,04:02 PM,2h27m,533,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,12:55 PM,04:25 PM,2h30m,263,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,01:00 PM,04:31 PM,2h31m,1444,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,02:00 PM,05:27 PM,2h27m,457,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,02:17 PM,05:49 PM,2h32m,698,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,02:17 PM,05:50 PM,2h33m,1444,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,03:14 PM,06:38 PM,2h24m,371,752
"DENVER, CO",DEN,"CHICAGO, IL",ORD,03:16 PM,06:41 PM,2h25m,682,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,03:16 PM,06:42 PM,2h26m,1289,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,04:26 PM,07:51 PM,2h25m,830,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,04:26 PM,07:52 PM,2h26m,1289,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,06:00 PM,09:30 PM,2h30m,254,73G
"DENVER, CO",DEN,"CHICAGO, IL",ORD,06:14 PM,09:45 PM,2h31m,1778,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,06:45 PM,10:02 PM,2h17m,371,739
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:05 PM,11:21 PM,2h16m,354,320
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:09 PM,11:36 PM,2h27m,1109,738
"DENVER, CO",DEN,"CHICAGO, IL",ORD,08:09 PM,11:36 PM,2h27m,1181,738
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,09:55 AM,02:44 PM,2h49m,833,739
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,09:55 AM,02:55 PM,3h00m,1581,739
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,01:20 PM,06:24 PM,3h04m,210,319
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,01:40 PM,06:38 PM,2h58m,1660,739
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,03:22 PM,08:18 PM,2h56m,365,738
"DENVER, CO",DEN,"CLEVELAND, OH",CLE,03:46 PM,08:44 PM,2h58m,1092,738
"DENVER, CO",DEN,"COLUMBUS, OH",CMH,08:10 PM,12:54 AM,2h44m,581,320
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,09:55 AM,12:53 PM,1h58m,812,320
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,12:40 PM,03:41 PM,2h01m,1954,738
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,03:30 PM,06:30 PM,2h00m,1860,320
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,03:45 PM,06:51 PM,2h06m,1128,319
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,05:17 PM,08:21 PM,2h04m,305,319
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,05:17 PM,08:21 PM,2h04m,1193,738
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,08:03 PM,11:10 PM,2h07m,695,320
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,08:09 PM,11:14 PM,2h05m,1429,738
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,08:18 PM,11:22 PM,2h04m,812,73G
"DENVER, CO",DEN,"DALLAS/FORT WORTH, TX",DFW,08:18 PM,11:22 PM,2h04m,1844,73G
"DENVER, CO",DEN,"DES MOINES, IA",DSM,09:55 AM,12:39 PM,1h44m,734,320
"DENVER, CO",DEN,"DES MOINES, IA",DSM,09:58 AM,12:37 PM,1h39m,1529,738
"DENVER, CO",DEN,"DES MOINES, IA",DSM,05:30 PM,08:18 PM,1h48m,1604,73G
"DENVER, CO",DEN,"DES MOINES, IA",DSM,07:54 PM,10:42 PM,1h48m,538,319
"DENVER, CO",DEN,"DES MOINES, IA",DSM,07:54 PM,10:41 PM,1h47m,1424,738
"DENVER, CO",DEN,"DETROIT, MI",DTW,09:57 AM,02:56 PM,2h59m,831,319
"DENVER, CO",DEN,"DETROIT, MI",DTW,12:45 PM,05:48 PM,3h03m,658,319
"DENVER, CO",DEN,"DETROIT, MI",DTW,05:25 PM,10:10 PM,2h45m,282,320
"DENVER, CO",DEN,"DETROIT, MI",DTW,05:28 PM,10:22 PM,2h54m,591,319
"DENVER, CO",DEN,"DETROIT, MI",DTW,05:37 PM,10:22 PM,2h45m,591,320
"DENVER, CO",DEN,"FORT LAUDERDALE, FL",FLL,08:15 AM,02:02 PM,3h47m,1164,738
"DENVER, CO",DEN,"GRAND RAPIDS, MI",GRR,07:48 PM,12:17 AM,2h29m,1820,739
"DENVER, CO",DEN,"HONOLULU, OAHU, HI",HNL,11:30 AM,02:44 PM,7h14m,328,777
"DENVER, CO",DEN,"HOUSTON, TX",IAH,05:00 AM,08:21 AM,2h21m,1172,739
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:24 AM,2h24m,373,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:20 AM,2h20m,538,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:24 AM,2h24m,690,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:24 AM,2h24m,1452,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:24 AM,2h24m,1491,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:00 AM,09:21 AM,2h21m,1747,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,07:05 AM,10:27 AM,2h22m,1877,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,07:10 AM,10:29 AM,2h19m,598,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,07:10 AM,10:30 AM,2h20m,1101,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,08:00 AM,11:22 AM,2h22m,1104,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,08:25 AM,11:47 AM,2h22m,690,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,09:57 AM,01:16 PM,2h19m,1865,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:10 AM,01:29 PM,2h19m,1101,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:10 AM,01:29 PM,2h19m,1747,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:15 AM,01:31 PM,2h16m,373,789
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:15 AM,01:31 PM,2h16m,1051,789
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:15 AM,01:31 PM,2h16m,1104,789
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:15 AM,01:31 PM,2h16m,1475,789
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:15 AM,01:31 PM,2h16m,1877,789
"DENVER, CO",DEN,"HOUSTON, TX",IAH,10:55 AM,02:19 PM,2h24m,1146,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,11:20 AM,02:43 PM,2h23m,756,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,11:25 AM,02:48 PM,2h23m,1285,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,12:31 PM,03:51 PM,2h20m,545,739
"DENVER, CO",DEN,"HOUSTON, TX",IAH,12:36 PM,03:59 PM,2h23m,596,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,12:36 PM,04:00 PM,2h24m,1464,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,12:36 PM,04:00 PM,2h24m,1475,739
"DENVER, CO",DEN,"HOUSTON, TX",IAH,02:00 PM,05:20 PM,2h20m,1181,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,02:00 PM,05:20 PM,2h20m,1729,738
"DENVER, CO",DEN,"HOUSTON, TX",IAH,02:09 PM,05:39 PM,2h30m,690,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,02:09 PM,05:35 PM,2h26m,1729,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,03:05 PM,06:25 PM,2h20m,544,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,03:05 PM,06:23 PM,2h18m,1051,788
"DENVER, CO",DEN,"HOUSTON, TX",IAH,03:05 PM,06:25 PM,2h20m,1101,739
"DENVER, CO",DEN,"HOUSTON, TX",IAH,03:05 PM,06:21 PM,2h16m,1874,788
"DENVER, CO",DEN,"HOUSTON, TX",IAH,04:20 PM,07:38 PM,2h18m,1874,788
"DENVER, CO",DEN,"HOUSTON, TX",IAH,05:09 PM,08:31 PM,2h22m,1184,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,05:15 PM,08:35 PM,2h20m,778,320
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:34 PM,10:00 PM,2h26m,1975,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,06:45 PM,10:11 PM,2h26m,469,319
"DENVER, CO",DEN,"HOUSTON, TX",IAH,07:40 PM,11:02 PM,2h22m,1704,73G
"DENVER, CO",DEN,"HOUSTON, TX",IAH,08:10 PM,11:31 PM,2h21m,550,320
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,09:55 AM,02:27 PM,2h32m,491,319
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,09:55 AM,02:23 PM,2h28m,528,319
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,05:20 PM,09:53 PM,2h33m,1278,73G
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,05:26 PM,09:43 PM,2h17m,493,320
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,05:26 PM,10:03 PM,2h37m,865,319
"DENVER, CO",DEN,"INDIANAPOLIS, IN",IND,05:32 PM,10:04 PM,2h32m,402,320
"DENVER, CO",DEN,"JACKSON HOLE, WY",JAC,11:11 AM,12:39 PM,1h28m,561,319
"DENVER, CO",DEN,"JACKSON HOLE, WY",JAC,07:03 PM,08:29 PM,1h26m,271,320
"DENVER, CO",DEN,"KONA, HI",KOA,11:30 AM,02:48 PM,7h18m,602,752
"DENVER, CO",DEN,"KONA, HI",KOA,11:30 AM,04:09 PM,7h39m,1758,752
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,07:55 AM,08:51 AM,1h56m,707,320
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,07:55 AM,08:53 AM,1h58m,1897,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,07:57 AM,08:53 AM,1h56m,1595,320
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,07:57 AM,08:53 AM,1h56m,1866,320
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,09:55 AM,10:53 AM,1h58m,707,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,10:00 AM,10:56 AM,1h56m,215,320
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,11:21 AM,12:19 PM,1h58m,301,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,11:24 AM,12:21 PM,1h57m,1605,739
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,03:10 PM,04:09 PM,1h59m,775,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,03:16 PM,04:16 PM,2h00m,1128,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,03:18 PM,04:18 PM,2h00m,775,319
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,03:19 PM,04:19 PM,2h00m,1128,73G
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,06:45 PM,07:45 PM,2h00m,448,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,06:45 PM,07:43 PM,1h58m,1085,738
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,07:50 PM,08:50 PM,2h00m,448,739
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,10:03 PM,11:04 PM,2h01m,269,319
"DENVER, CO",DEN,"LAS VEGAS, NV",LAS,10:03 PM,11:02 PM,1h59m,1897,738
"DENVER, CO",DEN,"LOS ANGELES, CA",LAX,06:00 AM,07:37 AM,2h37m,646,738
