"ATLANTA, GA",ATL,"DENVER, CO",DEN,04:33 PM,06:15 PM,3h42m,453,319
"ATLANTA, GA",ATL,"DENVER, CO",DEN,04:53 PM,06:15 PM,3h22m,1402,738
"ATLANTA, GA",ATL,"DENVER, CO",DEN,07:35 PM,09:14 PM,3h39m,842,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:00 AM,07:03 AM,2h03m,700,320
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:30 AM,07:47 AM,2h17m,1407,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,07:50 AM,09:07 AM,2h17m,250,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,08:05 AM,09:25 AM,2h20m,1491,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,09:15 AM,10:36 AM,2h21m,1217,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,09:15 AM,10:36 AM,2h21m,1682,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:37 PM,07:54 PM,2h17m,1616,73G
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:50 PM,08:07 PM,2h17m,543,319
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:56 PM,08:17 PM,2h21m,1188,320
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:56 PM,08:17 PM,2h21m,1217,320
"ATLANTA, GA",ATL,"HOUSTON, TX",IAH,06:56 PM,08:17 PM,2h21m,1802,320
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,05:45 AM,08:00 AM,2h15m,224,738
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,10:00 AM,12:14 PM,2h14m,387,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,10:11 AM,12:30 PM,2h19m,1966,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,11:13 AM,01:34 PM,2h21m,1021,738
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,11:13 AM,01:34 PM,2h21m,1736,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,11:19 AM,01:40 PM,2h21m,421,319
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,03:44 PM,06:06 PM,2h22m,356,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,03:47 PM,06:12 PM,2h25m,1736,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,05:29 PM,07:51 PM,2h22m,410,738
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,06:03 PM,08:29 PM,2h26m,558,319
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,06:03 PM,08:29 PM,2h26m,1930,738
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,08:26 PM,10:47 PM,2h21m,1923,73G
"ATLANTA, GA",ATL,"NEW YORK/NEWARK, NJ",EWR,08:49 PM,11:10 PM,2h21m,674,319
"ATLANTA, GA",ATL,"SAN FRANCISCO, CA",SFO,07:00 AM,09:21 AM,5h21m,1133,738
"ATLANTA, GA",ATL,"SAN FRANCISCO, CA",SFO,07:00 AM,09:21 AM,5h21m,1900,738
"ATLANTA, GA",ATL,"SAN FRANCISCO, CA",SFO,07:39 AM,10:00 AM,5h21m,1900,738
"ATLANTA, GA",ATL,"SAN FRANCISCO, CA",SFO,06:25 PM,08:57 PM,5h32m,1608,738
"ATLANTA, GA",ATL,"WASHINGTON, DC",IAD,05:35 AM,07:24 AM,1h49m,145,739
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,06:00 AM,08:46 AM,2h46m,785,319
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,06:00 AM,08:41 AM,2h41m,1851,320
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,06:32 AM,09:13 AM,2h41m,793,320
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,07:00 AM,09:46 AM,2h46m,790,319
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,08:17 AM,11:04 AM,2h47m,785,319
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,08:43 AM,11:30 AM,2h47m,1851,319
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,08:47 AM,11:29 AM,2h42m,793,73G
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,08:47 AM,11:29 AM,2h42m,1802,73G
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,01:58 PM,04:40 PM,2h42m,790,320
"AUSTIN, TX",AUS,"CHICAGO, IL",ORD,02:58 PM,05:41 PM,2h43m,790,738
"AUSTIN, TX",AUS,"DENVER, CO",DEN,05:59 AM,07:21 AM,2h22m,1059,320
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:37 AM,08:55 AM,2h18m,1525,739
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:40 AM,08:58 AM,2h18m,1041,73G
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:45 AM,09:08 AM,2h23m,579,739
"AUSTIN, TX",AUS,"DENVER, CO",DEN,08:58 AM,10:20 AM,2h22m,579,320
"AUSTIN, TX",AUS,"DENVER, CO",DEN,11:59 AM,01:22 PM,2h23m,1808,73G
"AUSTIN, TX",AUS,"DENVER, CO",DEN,12:00 PM,01:19 PM,2h19m,1059,73G
"AUSTIN, TX",AUS,"DENVER, CO",DEN,12:05 PM,01:27 PM,2h22m,493,319
"AUSTIN, TX",AUS,"DENVER, CO",DEN,01:00 PM,02:23 PM,2h23m,701,73G
"AUSTIN, TX",AUS,"DENVER, CO",DEN,03:07 PM,04:31 PM,2h24m,701,320
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:45 PM,09:05 PM,2h20m,661,319
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:45 PM,09:05 PM,2h20m,1647,739
"AUSTIN, TX",AUS,"DENVER, CO",DEN,07:49 PM,09:05 PM,2h16m,659,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:30 AM,06:25 AM,55m,388,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:30 AM,06:24 AM,54m,842,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:30 AM,06:24 AM,54m,1500,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:30 AM,06:25 AM,55m,1905,73G
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:30 AM,06:24 AM,54m,1966,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:15 AM,07:18 AM,1h03m,1424,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:15 AM,07:18 AM,1h03m,1711,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:49 AM,07:50 AM,1h01m,327,738
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:50 AM,07:53 AM,1h03m,1966,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:56 AM,07:57 AM,1h01m,1497,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:59 AM,08:00 AM,1h01m,1206,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,06:59 AM,08:00 AM,1h01m,1500,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,08:10 AM,09:12 AM,1h02m,253,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,08:10 AM,09:13 AM,1h03m,1014,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,08:10 AM,09:13 AM,1h03m,1497,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,08:10 AM,09:14 AM,1h04m,1571,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,08:10 AM,09:13 AM,1h03m,1905,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,09:20 AM,10:25 AM,1h05m,664,319
